06:59.46 1998-04-08 9728 DIRECTX/DIRECTX/DRIVERS/CHT/ESSMPORT.DRV
06:59.46 1998-04-08 9895 DIRECTX/DIRECTX/DRIVERS/CHT/ESSMPU.DRV
06:59.46 1998-04-08 6511 DIRECTX/DIRECTX/DRIVERS/CHT/F3AUDIO.INF
06:59.46 1998-04-08 8839 DIRECTX/DIRECTX/DRIVERS/CHT/F3MIDI.DRV
06:59.46 1998-04-08 47147 DIRECTX/DIRECTX/DRIVERS/CHT/F3WAVMIX.DRV
06:59.46 1998-04-08 4944 DIRECTX/DIRECTX/DRIVERS/CHT/MMMIXER.DLL
06:59.46 1998-04-08 386 DIRECTX/DIRECTX/DRIVERS/CHT/MSDDRAW.INF
06:59.46 1998-04-08 313 DIRECTX/DIRECTX/DRIVERS/CHT/MSDSOUND.INF
06:59.46 1998-04-08 7744 DIRECTX/DIRECTX/DRIVERS/CHT/MSJSTICK.DRV
06:59.48 1998-04-08 8704 DIRECTX/DIRECTX/DRIVERS/CHT/MSMPU401.DRV
06:59.48 1998-04-08 17856 DIRECTX/DIRECTX/DRIVERS/CHT/MSOPL.DRV
06:59.48 1998-04-08 40448 DIRECTX/DIRECTX/DRIVERS/CHT/MSSBLST.DRV
06:59.48 1998-04-08 21150 DIRECTX/DIRECTX/DRIVERS/CHT/MSSBLST.VXD
06:59.48 1998-04-08 40459 DIRECTX/DIRECTX/DRIVERS/CHT/MSSNDSYS.DRV
06:59.48 1998-04-08 31476 DIRECTX/DIRECTX/DRIVERS/CHT/MSSNDSYS.VXD
06:59.48 1998-04-08 38000 DIRECTX/DIRECTX/DRIVERS/CHT/MVI514MX.DRV
06:59.48 1998-04-08 19120 DIRECTX/DIRECTX/DRIVERS/CHT/MVIWAVE.DRV
06:59.48 1998-04-08 59232 DIRECTX/DIRECTX/DRIVERS/CHT/MVMIXER.DRV
06:59.48 1998-04-08 25968 DIRECTX/DIRECTX/DRIVERS/CHT/MVPROAUD.DRV
06:59.50 1998-04-08 52832 DIRECTX/DIRECTX/DRIVERS/CHT/PA3DMXD.DRV
