18:55.06 1996-10-11 67 autorun.inf
12:36.20 1997-04-10 1541524 heroes2/anim/des10.smk
12:37.00 1997-04-10 1126408 heroes2/anim/des11.smk
12:37.50 1997-04-10 1135200 heroes2/anim/des12.smk
12:38.52 1997-04-10 1167364 heroes2/anim/des13.smk
12:39.30 1997-04-10 1082064 heroes2/anim/des14.smk
17:24.34 1997-04-11 213264 heroes2/anim/mixdes9.smk
17:22.48 1997-04-11 335212 heroes2/anim/mixpol1.smk
17:23.02 1997-04-11 400920 heroes2/anim/mixpol2.smk
17:23.18 1997-04-11 426860 heroes2/anim/mixpol3.smk
17:23.30 1997-04-11 409772 heroes2/anim/mixpol4.smk
17:23.40 1997-04-11 288172 heroes2/anim/mixpol5.smk
17:23.58 1997-04-11 318140 heroes2/anim/mixpol6.smk
17:24.08 1997-04-11 330284 heroes2/anim/mixpol7.smk
17:24.18 1997-04-11 473804 heroes2/anim/mixpol8.smk
17:26.56 1997-04-11 200376 heroes2/anim/mixvoy21.smk
17:27.04 1997-04-11 214120 heroes2/anim/mixvoy22.smk
12:28.14 1996-11-01 173972 heroes2/anim/sevil01.smk
16:08.38 1996-11-01 467652 heroes2/anim/sevil01v.smk
14:06.42 1996-11-02 246356 heroes2/anim/sevil02.smk
14:21.12 1996-11-02 414728 heroes2/anim/sevil03.smk
12:28.56 1996-11-01 81768 heroes2/anim/sevil05.smk
12:29.10 1996-11-01 254640 heroes2/anim/sevil06.smk
12:29.28 1996-11-01 592208 heroes2/anim/sevil07.smk
01:40.50 1996-11-03 914904 heroes2/anim/sevil08.smk
12:30.56 1996-11-01 281524 heroes2/anim/sevil09.smk
12:31.04 1996-11-01 286736 heroes2/anim/sevil10.smk
12:40.14 1997-04-10 1082072 heroes2/anim/des15.smk
12:35.10 1997-04-10 914564 heroes2/anim/des9.smk
12:31.40 1995-05-03 1529628 heroes2/anim/earth.smk
12:34.18 1996-11-01 345268 heroes2/anim/evil01.smk
14:57.40 1996-11-01 648820 heroes2/anim/evil01v.smk
12:34.32 1996-11-01 564136 heroes2/anim/evil02.smk
15:12.12 1996-11-01 601272 heroes2/anim/evil02w.smk
12:35.28 1996-11-01 2021360 heroes2/anim/evil03.smk
15:21.40 1996-11-01 472892 heroes2/anim/evil03qw.smk
12:35.34 1996-11-01 155000 heroes2/anim/evil05.smk
12:40.22 1996-11-01 180688 heroes2/anim/good06.smk
15:10.38 1996-11-01 1025824 heroes2/anim/good06av.smk
15:10.46 1996-11-01 906032 heroes2/anim/good06bv.smk
12:40.48 1996-11-01 649872 heroes2/anim/good07.smk
15:14.14 1996-11-01 462508 heroes2/anim/good07qw.smk
12:42.06 1996-11-01 510436 heroes2/anim/good09.smk
15:14.28 1996-11-01 565776 heroes2/anim/good09w.smk
12:44.00 1996-11-01 2828080 heroes2/anim/good10.smk
15:14.38 1996-11-01 589292 heroes2/anim/good10w.smk
16:17.20 1997-09-05 2754216 heroes2/anim/h2xintro.smk
20:39.08 1996-11-01 21067816 heroes2/anim/intro.smk
10:46.38 1997-03-26 142056 heroes2/anim/ivyback.smk
21:12.18 1996-10-30 695872 heroes2/anim/library.smk
16:00.14 1996-11-01 325672 heroes2/anim/libraryw.smk
21:35.20 1996-10-30 445112 heroes2/anim/lose.smk
17:24.46 1997-04-11 218736 heroes2/anim/mixdes10.smk
17:24.56 1997-04-11 454056 heroes2/anim/mixdes11.smk
17:25.08 1997-04-11 365300 heroes2/anim/mixdes12.smk
17:25.18 1997-04-11 339224 heroes2/anim/mixdes13.smk
17:25.26 1997-04-11 415672 heroes2/anim/mixdes14.smk
17:25.34 1997-04-11 163496 heroes2/anim/mixdes15.smk
15:13.26 1996-11-01 376252 heroes2/anim/evil11w.smk
12:39.00 1996-11-01 228156 heroes2/anim/good01.smk
14:59.30 1996-11-01 1649372 heroes2/anim/good01v.smk
12:39.12 1996-11-01 409872 heroes2/anim/good02.smk
15:13.36 1996-11-01 783336 heroes2/anim/good02w.smk
12:39.34 1996-11-01 940348 heroes2/anim/good03.smk
15:13.54 1996-11-01 775660 heroes2/anim/good03qw.smk
12:40.12 1996-11-01 1005756 heroes2/anim/good04.smk
15:14.02 1996-11-01 325760 heroes2/anim/good04w.smk
12:40.16 1996-11-01 155000 heroes2/anim/good05.smk
19:03.24 1996-11-03 2639972 heroes2/anim/good05v.smk
14:59.00 1996-11-01 1902796 heroes2/anim/evil05av.smk
14:59.14 1996-11-01 3002644 heroes2/anim/evil05bv.smk
12:36.00 1996-11-01 888488 heroes2/anim/evil06.smk
15:12.40 1996-11-01 539096 heroes2/anim/evil06aw.smk
15:12.50 1996-11-01 407016 heroes2/anim/evil06bw.smk
12:36.28 1996-11-01 1109692 heroes2/anim/evil07.smk
15:13.00 1996-11-01 514444 heroes2/anim/evil07w.smk
15:23.24 1996-11-01 4271016 heroes2/anim/evil08.smk
12:38.36 1996-11-01 965888 heroes2/anim/evil09.smk
15:13.16 1996-11-01 550304 heroes2/anim/evil09w.smk
12:38.52 1996-11-01 546804 heroes2/anim/evil10.smk
17:27.16 1997-04-11 374712 heroes2/anim/mixvoy23.smk
17:27.24 1997-04-11 161348 heroes2/anim/mixvoy24.smk
17:27.32 1997-04-11 146660 heroes2/anim/mixvoy25.smk
17:25.50 1997-04-11 386812 heroes2/anim/mixwiz16.smk
17:25.56 1997-04-11 331512 heroes2/anim/mixwiz17.smk
17:26.06 1997-04-11 369764 heroes2/anim/mixwiz18.smk
17:26.14 1997-04-11 181852 heroes2/anim/mixwiz19.smk
17:26.22 1997-04-11 242212 heroes2/anim/mixwiz20.smk
17:16.30 1997-09-05 5203092 heroes2/anim/mm6.smk
12:19.06 1996-11-03 2195044 heroes2/anim/cylogo.smk
11:10.26 1997-04-10 1134204 heroes2/anim/pol1.smk
11:15.32 1997-04-10 1094884 heroes2/anim/pol2.smk
12:25.24 1997-04-10 1138196 heroes2/anim/pol3.smk
12:26.00 1997-04-10 923372 heroes2/anim/pol4.smk
12:26.46 1997-04-10 1152840 heroes2/anim/pol5.smk
12:27.22 1997-04-10 1015304 heroes2/anim/pol6.smk
12:33.50 1997-04-10 950180 heroes2/anim/pol7.smk
12:34.38 1997-04-10 1128348 heroes2/anim/pol8.smk
15:51.40 1996-11-01 7388460 heroes2/anim/prison.smk
16:08.16 1996-11-01 1257804 heroes2/anim/rbetrayv.smk
16:08.22 1996-11-01 355932 heroes2/anim/sbetrayv.smk
12:47.18 1997-04-10 1954264 heroes2/anim/voy23.smk
13:21.06 1997-04-10 2095708 heroes2/anim/voy24.smk
13:22.58 1997-04-10 849712 heroes2/anim/voy25.smk
10:37.40 1996-11-02 2534028 heroes2/anim/win.smk
12:41.18 1997-04-10 1047304 heroes2/anim/wiz16.smk
12:42.26 1997-04-10 1054284 heroes2/anim/wiz17.smk
12:43.00 1997-04-10 899888 heroes2/anim/wiz18.smk
12:43.48 1997-04-10 1135764 heroes2/anim/wiz19.smk
12:44.30 1997-04-10 852776 heroes2/anim/wiz20.smk
13:47.02 1997-04-30 790008 heroes2/anim/nwclogo.smk
16:10.32 1996-11-01 530216 heroes2/anim/sevil5av.smk
16:10.42 1996-11-01 847724 heroes2/anim/sevil5bv.smk
12:31.10 1996-11-01 123148 heroes2/anim/sgood01.smk
16:12.54 1996-11-01 751280 heroes2/anim/sgood01v.smk
12:31.16 1996-11-01 222364 heroes2/anim/sgood02.smk
12:31.28 1996-11-01 319244 heroes2/anim/sgood03.smk
